Polls,date,Trump,Carson,Rubio,Cruz,Bush,Paul,Kasich,Fiorina,Huckabee,Christie,Jindal,Santorum,Pataki,Graham,Spread
FOX News,5/12/2015,4,13,9,6,13,7,2,1,10,6,1,2,0,0,Tie
PPP (D),5/10/2015,--,12,13,10,11,9,--,--,12,5,--,--,--,--,Walker +5
NBC/WSJ,4/30/2015,--,7,18,11,23,11,--,1,5,5,--,--,--,--,Bush +5
FOX News,4/21/2015,5,6,13,8,9,10,2,0,9,6,1,1,1,1,Rubio +1
CNN/ORC,4/19/2015,--,4,11,7,17,11,2,2,9,4,2,3,0,2,Bush +5
PPP (D),3/31/2015,--,10,6,16,17,10,--,--,6,4,--,--,--,--,Walker +3
ABC/Wash Post,3/29/2015,--,6,8,12,21,8,1,1,8,7,1,2,--,1,Bush +8
CNN/ORC,3/15/2015,--,9,7,4,16,12,2,0,10,7,1,1,--,1,Bush +3
McClatchy/Marist,3/4/2015,--,9,5,4,19,7,--,2,10,6,--,2,--,1,Bush +1
Quinnipiac,3/2/2015,--,7,5,6,16,6,1,--,8,8,2,2,--,1,Walker +2
PPP (D),2/22/2015,--,18,3,5,17,4,--,--,10,5,--,--,--,--,Walker +7
CNN/ORC,2/15/2015,--,9,6,3,12,11,2,1,17,7,1,2,--,1,Huckabee +5
FOX News,1/27/2015,--,10,5,4,15,13,2,--,13,6,3,2,--,1,Bush +2
